Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Mucuna pruriens var. utilis,Taproot,fibrous,"Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; hairy pods,Velvet bean,0,1,1,0,0,1
Talinum triangulare,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, glossy     ",Small pink flowers; capsules,Moderate drought; moist soils,Edible leaves; water retention,Waterleaf,1,0,1,0,0,1
Citrullus lanatus,Taproot,deep,"Annual vine, up to 3m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits,Drought-tolerant; heat-tolerant,High water content; deep root system,Watermelon,0,1,0,1,0,0
Ipomoea aquatica,Fibrous,shallow,"Perennial vine, up to 3m    ","Arrow-shaped, 5-15cm long      ",Purple/white flowers; capsules,Moderate drought; moist soils,Aquatic growth; edible shoots,Water spinach,1,0,1,1,0,1
Psophocarpus tetragonolobus,Taproot,fibrous,"Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; winged pods,Winged bean,0,1,0,0,0,1
Vigna unguiculata subsp. sesquipedalis,Taproot,fibrous,"Annual climber, up to 3m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Long pods; heat tolerance,Yardlong bean,0,1,1,1,0,0
Dioscorea bulbifera,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; aerial bulbils,Shade-tolerant; humid conditions,Aerial bulbils for propagation,Air potato,1,0,1,0,0,0
Curcuma caesia,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Dark rhizomes; medicinal properties,Black turmeric,1,0,1,0,0,0
Curcuma aeruginosa,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Blue rhizomes; pest resistance,Blue turmeric,1,0,1,0,0,0
Xanthosoma violaceum,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms,Shade-tolerant; high humidity,Violet corms; waterlogging tolerance,black malanga,1,0,0,0,0,0
Coleus rotundifolius,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic    ",Purple flowers; tubers,Shade-tolerant; humid conditions,Edible tubers; rapid regeneration,Indian potato,1,0,0,0,0,0
Colocasia esculenta var. esculenta,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms,Shade-tolerant; high humidity,Edible corms; water retention,Taro / Arbi,1,0,0,1,0,1
Curcuma angustifolia,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Starch-rich rhizomes; drought tolerance,East Indian arrowroot,1,0,1,0,0,0
Amorphophallus paeoniifolius,Tuberous,deep,"Perennial herb, up to 1m    ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation,Shade-tolerant; humid tropics,Large corms; rapid regrowth,Elephant foot yam,1,0,1,1,0,1
Dioscorea pentaphylla,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils,Shade-tolerant; tropical forests,Five-leaf structure; tuber storage,Finger-leaf Yam,1,0,0,0,0,0
Alocasia indica,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms,Shade-tolerant; high humidity,Large leaves for light capture,Indian Taro,1,0,0,0,1,0
Dioscorea alata,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils,Shade-tolerant; tropical forests,Tuber storage; climbing for light,Greater Yam ,1,0,1,1,0,0
Dioscorea oppositifolia,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Opposite leaves; tuber resilience,Chinese Yam,1,0,1,1,0,0
Dioscorea hispida,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare,Shade-tolerant; humid conditions,Toxic compounds; tuber storage,Wild Yam,1,0,0,0,0,0
Dioscorea esculenta,Tuberous,deep,"Perennial climber, up to 8m ","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare,Shade-tolerant; tropical forests,Small tubers for storage; edible,Lesser Yam,1,0,0,0,0,0
Solanum tuberosum,Tuberous,shallow,"Perennial herb, up to 0.8m  ","Compound, 15-30cm long          ",Purple/white flowers; tubers,Moderate drought; cool climates,Stolon tubers; pest resistance,Potato,1,0,0,1,0,0
Canna edulis,Rhizomatous,Rhizomatous,"Perennial herb, up to 2m    ","Ovate, 20-40cm long, glossy    ",Red/yellow flowers; rhizome propagation,Moderate drought; tropical,Starch-rich rhizomes; ornamental value,Indian Arrowroot ,1,0,0,0,0,1
Ipomoea batatas,Fibrous,shallow,"Perennial vine, up to 4m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; tubers,Drought-tolerant; heat-tolerant,Edible tubers; rapid climbing,Sweet Potato ,1,0,0,1,0,1
Xanthosoma sagittifolium,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms,Shade-tolerant; high humidity,Edible corms; waterlogging tolerance,Tannia,1,0,0,0,0,1
Manihot esculenta,Taproot,deep,"Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed    ",Monoecious; capsules with seeds,Drought-tolerant; poor soils,Cyanogenic compounds deter herbivores,Tapioca,1,0,0,1,0,1
Colocasia esculenta var. antiquorum,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms,Shade-tolerant; high humidity,Edible corms; water retention,Taro,1,0,0,1,0,0
Maranta arundinacea,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Ovate, 10-20cm long, glossy    ",White flowers; rhizome propagation,Moderate drought; tropical,Starch-rich rhizomes; pest resistance,Indian Arrowroot,1,0,0,0,0,0
Dioscorea rotundata,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare,Shade-tolerant; humid conditions,White tubers; drought tolerance,White Yam,1,0,1,1,0,0
Smallanthus sonchifolius,Fibrous,shallow,"Perennial herb, up to 1m    ","Ovate, 10-20cm long, serrated  ",Yellow flowers; tubers,Moderate drought; cool climates,Sweet tubers; rapid growth,Yacon,1,0,0,0,0,0
Pachyrhizus erosus,Taproot,deep,"Perennial vine, up to 5m    ","Pinnate, 5-15cm long           ",Purple/white flowers; tubers,Drought-tolerant; heat-tolerant,Edible tubers; climbing habit,Yam bean,1,0,0,0,0,0
Beta vulgaris,Taproot,deep,"Biennial herb, up to 1m     ","Ovate, 10-20cm long, glossy    ",Green flowers; root tubers,Cold-tolerant; moderate drought,Edible taproot; cold storage,Beetroot,1,0,1,1,0,0
Brassica oleracea var. italica,Fibrous,shallow,"Annual herb, up to 0.8m     ","Obovate, 20-50cm long, waxy    ",Yellow flowers; heads with buds,Cold-tolerant; moderate frost,Tight bud clusters; frost resistance,Broccoli,1,0,1,1,0,0
Brassica oleracea var. gemmifera,Fibrous,shallow,"Biennial herb, up to 0.7m   ","Obovate, 15-30cm long, waxy    ",Yellow flowers; axillary buds,Cold-tolerant; moderate frost,Bud production on stem; cold-hardy,Brussels sprouts,1,0,0,0,0,0
Brassica oleracea var. capitata,Fibrous,shallow,"Biennial herb, up to 0.6m   ","Obovate, 20-40cm long, waxy    ",Yellow flowers; head formation,Cold-tolerant; moderate frost,Dense leaf heads; pest resistance,Cabbage,1,0,1,1,0,0
Daucus carota,Taproot,deep,"Biennial herb, up to 1m     ","Pinnate, 10-20cm long, feathery",White umbel flowers; root tubers,Cold-tolerant; moderate drought,Edible taproot; deep root system,Carrot,1,0,1,1,0,0
Brassica oleracea var. botrytis,Fibrous,shallow,"Annual herb, up to 0.7m     ","Obovate, 20-40cm long, waxy    ",Yellow flowers; curd formation,Cold-tolerant; moderate frost,White curd; frost tolerance,Cauliflower,1,0,1,1,0,0
Apium graveolens,Fibrous,shallow,"Biennial herb, up to 0.5m   ","Pinnate, 10-20cm long, glossy  ",Small white flowers; schizocarps,Cold-tolerant; moist soils,Aromatic stalks; water retention,Celery,1,0,1,1,0,0
Sechium edule,Taproot,shallow,"Perennial vine, up to 3m    ","Palmate, 10-20cm wide, lobed   ",White flowers; single-seeded fruit,Moderate drought; tropical,Edible fruit; rapid climbing,Chayote,0,1,0,0,0,0
Phaseolus vulgaris,Taproot,fibrous,"Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing,Nitrogen fixation; edible pods,Common bean,0,1,1,1,0,0
Pisum sativum,Taproot,fibrous,"Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds,Cold-tolerant; moderate drought,Nitrogen fixation; cold-resistant growth,Pea,0,1,1,1,0,0
Brassica oleracea var. sabellica,Fibrous,shallow,"Biennial herb, up to 0.6m   ","Pinnate, 20-40cm long, crinkled",Yellow flowers; loose leaf clusters,Cold-tolerant; moderate frost,Hardy leaves; frost enhances flavor, Leaf cabbage,1,0,1,0,0,0
Lactuca sativa,Fibrous,shallow,"Annual herb, up to 0.4m     ","Obovate, 5-15cm long, glossy   ",Yellow flowers; achenes,Cold-tolerant; moist soils,Rapid growth; mild flavor,Lettuce,1,0,0,1,0,0
Allium cepa,Bulbous,shallow,"Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils,Moderate drought; cool climates,Sulfur compounds; underground storage,Onion,1,0,1,1,0,0
Raphanus sativus,Taproot,deep,"Annual herb, up to 0.5m     ","Lyre-shaped, 5-15cm long       ",Purple/white flowers; root tubers,Cold-tolerant; moderate drought,Edible taproot; pungent compounds,Radish,1,0,1,1,0,0
Allium cepa var. aggregatum,Bulbous,shallow,"Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils,Moderate drought; cool climates,Clustered bulbs; pest resistance,Shallot,1,0,1,1,0,0
Spinacia oleracea,Fibrous,shallow,"Annual herb, up to 0.3m     ","Ovate, 5-10cm long, glossy     ",Green flowers; achenes,Cold-tolerant; moist soils,High nutrient content; rapid growth,Spinach,1,0,0,1,0,0
Brassica rapa,Taproot,deep,"Biennial herb, up to 0.5m   ","Lyre-shaped, 5-15cm long       ",Yellow flowers; root tubers,Cold-tolerant; moderate drought,Edible taproot; cold-hardy,Turnip,1,0,1,1,0,0
Malus domestica,Taproot,fibrous,"Deciduous tree, up to 10m   ","Ovate, 5-12cm long, serrated   ",White/pink flowers; pomes,Cold-tolerant; moderate drought,Dormancy in winter; pest-resistant bark,Apple,0,1,0,1,0,0
Prunus armeniaca,Taproot,fibrous,"Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes,Cold-tolerant; moderate drought,Early blooming; drought-resistant roots,Apricot,0,1,0,1,0,0
Pyrus pyrifolia,Taproot,fibrous,"Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; pomes,Cold-tolerant; moderate drought,Thick skin; cold-hardy,Asian Pear,0,1,0,0,0,0
Persea americana,Taproot,deep,"Evergreen tree, up to 20m   ","Elliptic, 10-30cm long, glossy ",Greenish flowers; drupes,Moderate drought; heat-tolerant,High oil content; frost-sensitive,Avocado,0,1,0,0,0,0
Passiflora mollissima,Fibrous,shallow,"Perennial vine, up to 5m    ","Ovate, 5-15cm long, lobed      ",Purple/white flowers; berries,Moderate drought; tropical,Climbing habit; rapid fruiting,Banana Passionfruit,0,1,0,0,0,0
Rubus spp,Fibrous,shallow,"Perennial shrub, up to 2m   ","Ovate, 5-10cm long, serrated   ",White/pink flowers; drupes,Cold-tolerant; moderate drought,Thorny stems; aggregate fruit,Raspberry,0,1,0,0,0,0
Citrus paradisi,Taproot,fibrous,"Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia,Moderate drought; heat-tolerant,Thick rind; high vitamin C content,Grapefruit,0,1,1,1,0,0
Vitis vinifera,Fibrous,deep,"Woody vine, up to 15m       ","Palmate, 5-15cm wide, lobed    ",Green flowers; berries,Moderate drought; warm climates,Tendrils for climbing; pest resistance,Grapes,0,1,1,1,0,0
Prunus salicina,Taproot,fibrous,"Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes,Cold-tolerant; moderate drought,Early ripening; drought-tolerant roots,Japanese Plum,0,1,0,1,0,0
Citrus japonica,Taproot,fibrous,"Evergreen shrub, up to 3m   ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia,Moderate drought; heat-tolerant,Edible peel; compact growth,Kumquat,0,1,0,0,0,0
Lansium parasiticum,Taproot,deep,"Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",Small flowers; berries,Shade-tolerant; humid tropics,Bitter rind protects fruit; insect repellent,Langsat,0,1,0,0,0,0
Litchi sinensis,Taproot,deep,"Evergreen tree, up to 12m   ","Pinnate, 10-20cm long          ",Small greenish flowers; drupes,Moderate drought; heat-tolerant,Rough skin; drought-resistant leaves,Litchi,0,1,0,1,0,0
Eriobotrya japonica,Taproot,fibrous,"Evergreen tree, up to 10m   ","Ovate, 10-25cm long, leathery  ",White flowers; pomes,Moderate frost; heat-tolerant,Evergreen foliage; early fruiting,Loquat,0,1,1,1,0,0
Macadamia integrifolia,Taproot,deep,"Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",White flowers; nuts,Moderate drought; tropical,Hard nut shell; oil-rich seeds,Macadamia,0,1,0,0,0,0
Citrus reticulata,Taproot,fibrous,"Evergreen tree, up to 8m    ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia,Moderate drought; heat-tolerant,Loose peel; cold-sensitive,Mandarin,0,1,1,1,0,0
Prunus persica,Taproot,fibrous,"Deciduous tree, up to 7m    ","Ovate, 5-10cm long, serrated   ",Pink flowers; drupes,Cold-tolerant; moderate drought,Fuzzy skin; early blooming,Peach,0,1,0,1,0,0
Solanum muricatum,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-15cm long, lobed      ",Purple flowers; berries,Moderate drought; tropical,Waxy fruit coating; rapid growth,Pepino,0,1,0,0,0,0
Diospyros kaki,Taproot,deep,"Deciduous tree, up to 12m   ","Ovate, 10-20cm long, glossy    ",White flowers; berries,Cold-tolerant; moderate drought,Astringent fruit; late ripening,Persimmon,0,1,0,0,0,0
Punica granatum,Taproot,deep,"Deciduous shrub/tree, up to 5m ","Obovate, 2-8cm long, glossy    ",Red flowers; berries with seeds,Drought-tolerant; heat-tolerant,Thick rind; seed dormancy,Pomegranate,0,1,1,1,0,0
Fragaria ananassa,Fibrous,shallow,"Perennial herb, up to 0.2m  ","Trifoliate, 5-10cm long        ",White flowers; aggregate fruit,Cold-tolerant; moderate drought,Runners for spread; early fruiting,Strawberry,0,1,0,1,0,0
Citrus × sinensis,Taproot,fibrous,"Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia,Moderate drought; heat-tolerant,Thick rind; high juice content,Sweet Orange,0,1,1,1,0,0
Solanum betaceum,Fibrous,shallow,"Perennial shrub, up to 3m   ","Ovate, 10-20cm long, lobed     ",Purple flowers; berries,Moderate drought; tropical,Edible fruit; rapid growth,Tree tomato ,0,1,0,0,0,0
Brassica juncea,Taproot,fibrous,"Annual herb, up to 1m       ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds,Moderate drought; cool climates,Oil-rich seeds; glucosinolates for defense,Mustard,1,0,1,1,0,0
Cocos nucifera,Fibrous,deep,"Perennial palm, up to 30m   ","Pinnate, 3-6m long, glossy     ",Small yellow flowers; drupes,Drought-tolerant; tropical,Sugar-rich sap; tall growth for wind resistance,Coconut,0,1,1,1,0,0
Sesamum indicum,Taproot,shallow,"Annual herb, erect up to 1m ","Ovate-lanceolate, 5-10cm long  ",Tubular flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Oil-rich seeds; drought-resistant,Sesame,0,1,1,1,0,0
Arachis hypogaea,Taproot,fibrous,"Annual herb, prostrate up to 0.5m ","Pinnate, 2-5cm long            ",Yellow flowers; pods underground,Drought-tolerant; heat-tolerant,Geocarpy; oil-rich pods,Groundnut,0,1,0,1,0,0
Ricinus communis,Taproot,deep,"Perennial shrub, up to 2m   ","Palmate, 10-30cm wide, glossy  ",Red/green flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Toxic ricin; oil-rich seeds,Castor,0,1,1,1,0,0
Elaeis guineensis,Fibrous,deep,"Perennial palm, up to 20m   ","Pinnate, 3-5m long, glossy     ",Small yellow flowers; bunches of fruit,Drought-tolerant; tropical,Oil-rich fruit bunches; tall canopy,Oil Palm,0,1,0,1,0,0
Glycine max,Taproot,deep,"Annual herb, erect up to 1m ","Trifoliate, 5-10cm long        ",Purple/white flowers; pods with seeds,Moderate drought; nitrogen-fixing,Nitrogen fixation; oil-rich seeds,Soybean,0,1,0,1,0,0
Helianthus annuus,Taproot,deep,"Annual herb, erect up to 2m ","Ovate, 10-30cm long, rough     ",Yellow ray flowers; achenes,Moderate drought; heat-tolerant,Oil-rich seeds; heliotropism,Sunflower,0,1,0,1,0,0
Areca catechu,Fibrous,shallow,"Perennial palm, up to 15m   ","Pinnate, 30-60cm long, glossy  ",Small yellow flowers; drupes,Drought-tolerant; tropical,Nut production; tall growth for shade,Areca nut,0,1,1,1,0,0
Piper betle,Fibrous,shallow,"Perennial climber, up to 5m ","Ovate, 10-20cm long, glossy    ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Aromatic leaves; symbiotic mycorrhizae,Betel Leaf,1,0,1,1,0,0
