Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Pisonia grandis        ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-25cm long, glossy    ",Small greenish flowers; drupes       ,Moderate drought; coastal         ,Sticky leaves trap insects                   ,
Cnidoscolus aconitifolius ,"Taproot, fibrous    ","Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed   ",Small white flowers; capsules        ,Moderate drought; heat-tolerant   ,Stinging hairs; high protein content         ,
Sauropus androgynous   ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules with seeds   ,Moderate drought; tropical        ,Edible leaves; rapid growth                  ,
Ipomoea muricata       ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds  ,Moderate drought; heat-tolerant   ,Climbing habit; edible seeds                 ,
Cyamopsis tetragonoloba ,"Taproot, fibrous     ","Annual herb, up to 1m       ","Pinnate, 5-10cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible pods               ,
Hibiscus acetosella    ,"Taproot, fibrous       ","Perennial shrub, up to 1.5m ","Palmate, 5-15cm wide, lobed    ",Pink flowers; capsules with seeds    ,Moderate drought; heat-tolerant   ,Acidic leaves; ornamental value              ,
Murraya koenigii       ,"Taproot, fibrous       ","Evergreen shrub, up to 5m   ","Pinnate, 10-20cm long, aromatic",Small white flowers; berries         ,Drought-tolerant; tropical        ,Aromatic leaves; pest-repellent oils         ,
Moringa oleifera       ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Pinnate, 20-40cm long          ",White flowers; pods with seeds       ,Drought-tolerant; heat-tolerant   ,Nutrient-rich pods; deep roots               ,
Alternanthera sessilis ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 2-5cm long, glossy      ",Small white flowers; achenes         ,Moderate drought; moist soils     ,Edible leaves; rapid regeneration            ,
Momordica cochinchinensis ,"Taproot, shallow   ","Perennial vine, up to 5m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Red fruit pulp; medicinal properties         ,
Capsicum baccatum      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Spicy fruit; pest resistance                 ,
Cucurbita moschata     ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Thick rind; water retention                  ,
Basella rubra          ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Ovate, 5-15cm long, glossy     ",Small white flowers; berries         ,Moderate drought; heat-tolerant   ,Red stems; climbing habit                    ,
Cucurbita maxima       ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Large fruit size; water storage              ,
Luffa acutangula       ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Fibrous fruit; rapid climbing                ,
Hibiscus sabdariffa    ,"Taproot, fibrous       ","Annual/perennial shrub, up to 2m ","Palmate, 5-15cm wide, lobed    ",Yellow flowers; calyces with seeds   ,Moderate drought; heat-tolerant   ,Edible calyces; acid content                 ,
Phaseolus coccineus    ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Red/white flowers; pods with seeds   ,Moderate drought; nitrogen-fixing ,Climbing habit; edible pods                  ,
Cucumis sativus        ,"Taproot, shallow       ","Annual vine, up to 2m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Thin-skinned fruit; rapid growth             ,
Luffa cylindrica       ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 10-20cm wide, lobed   ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Smooth fruit; fibrous interior               ,
Trichosanthes cucumerina ,"Taproot, shallow    ","Annual vine, up to 4m       ","Palmate, 5-15cm wide, lobed    ",White flowers; pepo fruits           ,Moderate drought; tropical        ,Long fruit; climbing adaptation              ,
Momordica dioica       ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Spiny fruit; dioecious reproduction          ,
Amaranthus dubius      ,"Fibrous, shallow       ","Annual herb, up to 1m       ","Ovate, 5-15cm long, glossy     ",Green/red flowers; achenes           ,Moderate drought; heat-tolerant   ,High nutrient content; rapid growth          ,
Cucurbita pepo         ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broad, 15-30cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Tender fruit; versatile growth               ,
Canavalia gladiata     ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Pinnate, 5-15cm long           ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible pods               ,
Xanthosoma brasiliense ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible leaves/corms; waterlogging tolerance  ,
Momordica subangulata  ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed    ",Yellow flowers; pepo fruits          ,Moderate drought; tropical        ,Spiny fruit; medicinal use                   ,
Solanum lycopersicum   ,"Taproot, fibrous       ","Annual/perennial shrub, up to 1m ","Pinnate, 10-20cm long          ",Yellow flowers; berries              ,Moderate drought; heat-tolerant   ,High lycopene; pest resistance               ,
Mucuna pruriens var. utilis ,"Taproot, fibrous  ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; hairy pods                ,
Talinum triangulare    ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, glossy     ",Small pink flowers; capsules         ,Moderate drought; moist soils     ,Edible leaves; water retention               ,
Citrullus lanatus      ,"Taproot, deep          ","Annual vine, up to 3m       ","Broad, 5-15cm wide, lobed      ",Yellow flowers; pepo fruits          ,Drought-tolerant; heat-tolerant   ,High water content; deep root system         ,
Ipomoea aquatica       ,"Fibrous, shallow       ","Perennial vine, up to 3m    ","Arrow-shaped, 5-15cm long      ",Purple/white flowers; capsules       ,Moderate drought; moist soils     ,Aquatic growth; edible shoots                ,
Psophocarpus tetragonolobus ,"Taproot, fibrous ","Perennial climber, up to 3m ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; winged pods               ,
Vigna unguiculata subsp. sesquipedalis ,"Taproot, fibrous ","Annual climber, up to 3m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Long pods; heat tolerance                    ,
Dioscorea bulbifera    ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; aerial bulbils        ,Shade-tolerant; humid conditions  ,Aerial bulbils for propagation               ,
Curcuma caesia         ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Dark rhizomes; medicinal properties          ,
Curcuma aeruginosa     ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Blue rhizomes; pest resistance               ,
Xanthosoma violaceum   ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Violet corms; waterlogging tolerance         ,
Coleus rotundifolius   ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic    ",Purple flowers; tubers               ,Shade-tolerant; humid conditions  ,Edible tubers; rapid regeneration            ,
Colocasia esculenta var. esculenta ,Rhizomatous ,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; water retention                ,
Curcuma angustifolia    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Starch-rich rhizomes; drought tolerance      ,
Amorphophallus paeoniifolius ,"Tuberous, deep    ","Perennial herb, up to 1m    ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation ,Shade-tolerant; humid tropics     ,Large corms; rapid regrowth                  ,
Dioscorea pentaphylla  ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils   ,Shade-tolerant; tropical forests  ,Five-leaf structure; tuber storage           ,
Alocasia indica        ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Large leaves for light capture               ,
Dioscorea alata        ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils   ,Shade-tolerant; tropical forests  ,Tuber storage; climbing for light            ,
Dioscorea oppositifolia ,"Tuberous, deep        ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; tropical forests  ,Opposite leaves; tuber resilience            ,
Dioscorea hispida      ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; humid conditions  ,Toxic compounds; tuber storage               ,
Dioscorea esculenta    ,"Tuberous, deep         ","Perennial climber, up to 8m ","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; tropical forests  ,Small tubers for storage; edible             ,
Solanum tuberosum      ,"Tuberous, shallow      ","Perennial herb, up to 0.8m  ","Compound, 15-30cm long          ",Purple/white flowers; tubers          ,Moderate drought; cool climates   ,Stolon tubers; pest resistance               ,
Canna edulis           ,Rhizomatous            ,"Perennial herb, up to 2m    ","Ovate, 20-40cm long, glossy    ",Red/yellow flowers; rhizome propagation ,Moderate drought; tropical        ,Starch-rich rhizomes; ornamental value       ,
Ipomoea batatas        ,"Fibrous, shallow       ","Perennial vine, up to 4m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; tubers               ,Drought-tolerant; heat-tolerant   ,Edible tubers; rapid climbing                ,
Xanthosoma sagittifolium ,Rhizomatous         ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; waterlogging tolerance         ,
Manihot esculenta      ,"Taproot, deep          ","Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed    ",Monoecious; capsules with seeds       ,Drought-tolerant; poor soils      ,Cyanogenic compounds deter herbivores        ,
Colocasia esculenta var. antiquorum ,Rhizomatous ,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; water retention                ,
Maranta arundinacea    ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Ovate, 10-20cm long, glossy    ",White flowers; rhizome propagation    ,Moderate drought; tropical        ,Starch-rich rhizomes; pest resistance        ,
Dioscorea rotundata    ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; humid conditions  ,White tubers; drought tolerance              ,
Smallanthus sonchifolius ,"Fibrous, shallow    ","Perennial herb, up to 1m    ","Ovate, 10-20cm long, serrated  ",Yellow flowers; tubers               ,Moderate drought; cool climates   ,Sweet tubers; rapid growth                   ,
Pachyrhizus erosus     ,"Taproot, deep          ","Perennial vine, up to 5m    ","Pinnate, 5-15cm long           ",Purple/white flowers; tubers          ,Drought-tolerant; heat-tolerant   ,Edible tubers; climbing habit                ,
Beta vulgaris           ,"Taproot, deep          ","Biennial herb, up to 1m     ","Ovate, 10-20cm long, glossy    ",Green flowers; root tubers            ,Cold-tolerant; moderate drought   ,Edible taproot; cold storage                ,
Brassica oleracea var. italica ,"Fibrous, shallow ","Annual herb, up to 0.8m     ","Obovate, 20-50cm long, waxy    ",Yellow flowers; heads with buds       ,Cold-tolerant; moderate frost     ,Tight bud clusters; frost resistance        ,
Brassica oleracea var. gemmifera ,"Fibrous, shallow ","Biennial herb, up to 0.7m   ","Obovate, 15-30cm long, waxy    ",Yellow flowers; axillary buds        ,Cold-tolerant; moderate frost     ,Bud production on stem; cold-hardy          ,
Brassica oleracea var. capitata ,"Fibrous, shallow ","Biennial herb, up to 0.6m   ","Obovate, 20-40cm long, waxy    ",Yellow flowers; head formation       ,Cold-tolerant; moderate frost     ,Dense leaf heads; pest resistance           ,
Daucus carota           ,"Taproot, deep          ","Biennial herb, up to 1m     ","Pinnate, 10-20cm long, feathery",White umbel flowers; root tubers      ,Cold-tolerant; moderate drought   ,Edible taproot; deep root system            ,
Brassica oleracea var. botrytis ,"Fibrous, shallow ","Annual herb, up to 0.7m     ","Obovate, 20-40cm long, waxy    ",Yellow flowers; curd formation       ,Cold-tolerant; moderate frost     ,White curd; frost tolerance                 ,
Apium graveolens        ,"Fibrous, shallow       ","Biennial herb, up to 0.5m   ","Pinnate, 10-20cm long, glossy  ",Small white flowers; schizocarps      ,Cold-tolerant; moist soils        ,Aromatic stalks; water retention            ,
Sechium edule           ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 10-20cm wide, lobed   ",White flowers; single-seeded fruit    ,Moderate drought; tropical        ,Edible fruit; rapid climbing                ,
Phaseolus vulgaris      ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds ,Moderate drought; nitrogen-fixing ,Nitrogen fixation; edible pods              ,
Pisum sativum           ,"Taproot, fibrous       ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds ,Cold-tolerant; moderate drought   ,Nitrogen fixation; cold-resistant growth    ,
Brassica oleracea var. sabellica ,"Fibrous, shallow ","Biennial herb, up to 0.6m   ","Pinnate, 20-40cm long, crinkled",Yellow flowers; loose leaf clusters   ,Cold-tolerant; moderate frost     ,Hardy leaves; frost enhances flavor         ,
Lactuca sativa          ,"Fibrous, shallow       ","Annual herb, up to 0.4m     ","Obovate, 5-15cm long, glossy   ",Yellow flowers; achenes              ,Cold-tolerant; moist soils        ,Rapid growth; mild flavor                   ,
Allium cepa             ,"Bulbous, shallow       ","Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils   ,Moderate drought; cool climates   ,Sulfur compounds; underground storage       ,
Raphanus sativus        ,"Taproot, deep          ","Annual herb, up to 0.5m     ","Lyre-shaped, 5-15cm long       ",Purple/white flowers; root tubers     ,Cold-tolerant; moderate drought   ,Edible taproot; pungent compounds           ,
Allium cepa var. aggregatum ,"Bulbous, shallow  ","Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils   ,Moderate drought; cool climates   ,Clustered bulbs; pest resistance            ,
Spinacia oleracea       ,"Fibrous, shallow       ","Annual herb, up to 0.3m     ","Ovate, 5-10cm long, glossy     ",Green flowers; achenes               ,Cold-tolerant; moist soils        ,High nutrient content; rapid growth         ,
Brassica rapa           ,"Taproot, deep          ","Biennial herb, up to 0.5m   ","Lyre-shaped, 5-15cm long       ",Yellow flowers; root tubers          ,Cold-tolerant; moderate drought   ,Edible taproot; cold-hardy                  ,
Malus domestica        ,"Taproot, fibrous       ","Deciduous tree, up to 10m   ","Ovate, 5-12cm long, serrated   ",White/pink flowers; pomes            ,Cold-tolerant; moderate drought   ,Dormancy in winter; pest-resistant bark      ,
Prunus armeniaca       ,"Taproot, fibrous       ","Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes                ,Cold-tolerant; moderate drought   ,Early blooming; drought-resistant roots      ,
Pyrus pyrifolia        ,"Taproot, fibrous       ","Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; pomes                 ,Cold-tolerant; moderate drought   ,Thick skin; cold-hardy                      ,
Persea americana       ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Elliptic, 10-30cm long, glossy ",Greenish flowers; drupes             ,Moderate drought; heat-tolerant   ,High oil content; frost-sensitive            ,
Passiflora mollissima  ,"Fibrous, shallow       ","Perennial vine, up to 5m    ","Ovate, 5-15cm long, lobed      ",Purple/white flowers; berries        ,Moderate drought; tropical        ,Climbing habit; rapid fruiting               ,
Rubus spp              ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Ovate, 5-10cm long, serrated   ",White/pink flowers; drupes           ,Cold-tolerant; moderate drought   ,Thorny stems; aggregate fruit                ,
Citrus paradisi        ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Thick rind; high vitamin C content           ,
Vitis vinifera         ,"Fibrous, deep          ","Woody vine, up to 15m       ","Palmate, 5-15cm wide, lobed    ",Green flowers; berries               ,Moderate drought; warm climates   ,Tendrils for climbing; pest resistance       ,
Prunus salicina        ,"Taproot, fibrous       ","Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes                ,Cold-tolerant; moderate drought   ,Early ripening; drought-tolerant roots       ,
Citrus japonica        ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Edible peel; compact growth                  ,
Lansium parasiticum    ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",Small flowers; berries               ,Shade-tolerant; humid tropics     ,Bitter rind protects fruit; insect repellent ,
Litchi sinensis        ,"Taproot, deep          ","Evergreen tree, up to 12m   ","Pinnate, 10-20cm long          ",Small greenish flowers; drupes       ,Moderate drought; heat-tolerant   ,Rough skin; drought-resistant leaves         ,
Eriobotrya japonica    ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-25cm long, leathery  ",White flowers; pomes                 ,Moderate frost; heat-tolerant     ,Evergreen foliage; early fruiting            ,
Macadamia integrifolia ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",White flowers; nuts                  ,Moderate drought; tropical        ,Hard nut shell; oil-rich seeds               ,
Citrus reticulata      ,"Taproot, fibrous       ","Evergreen tree, up to 8m    ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Loose peel; cold-sensitive                   ,
Prunus persica         ,"Taproot, fibrous       ","Deciduous tree, up to 7m    ","Ovate, 5-10cm long, serrated   ",Pink flowers; drupes                 ,Cold-tolerant; moderate drought   ,Fuzzy skin; early blooming                   ,
Solanum muricatum      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, lobed      ",Purple flowers; berries              ,Moderate drought; tropical        ,Waxy fruit coating; rapid growth             ,
Diospyros kaki         ,"Taproot, deep          ","Deciduous tree, up to 12m   ","Ovate, 10-20cm long, glossy    ",White flowers; berries               ,Cold-tolerant; moderate drought   ,Astringent fruit; late ripening              ,
Punica granatum        ,"Taproot, deep          ","Deciduous shrub/tree, up to 5m ","Obovate, 2-8cm long, glossy    ",Red flowers; berries with seeds      ,Drought-tolerant; heat-tolerant   ,Thick rind; seed dormancy                    ,
Fragaria ananassa      ,"Fibrous, shallow       ","Perennial herb, up to 0.2m  ","Trifoliate, 5-10cm long        ",White flowers; aggregate fruit       ,Cold-tolerant; moderate drought   ,Runners for spread; early fruiting           ,
Citrus × sinensis      ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Thick rind; high juice content               ,
Solanum betaceum       ,"Fibrous, shallow       ","Perennial shrub, up to 3m   ","Ovate, 10-20cm long, lobed     ",Purple flowers; berries              ,Moderate drought; tropical        ,Edible fruit; rapid growth                   ,
Brassica juncea         ,"Taproot, fibrous       ","Annual herb, up to 1m       ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds   ,Moderate drought; cool climates   ,Oil-rich seeds; glucosinolates for defense   ,
Cocos nucifera          ,"Fibrous, deep          ","Perennial palm, up to 30m   ","Pinnate, 3-6m long, glossy     ",Small yellow flowers; drupes          ,Drought-tolerant; tropical        ,Sugar-rich sap; tall growth for wind resistance ,
Sesamum indicum         ,"Taproot, shallow       ","Annual herb, erect up to 1m ","Ovate-lanceolate, 5-10cm long  ",Tubular flowers; capsules with seeds ,Drought-tolerant; heat-tolerant   ,Oil-rich seeds; drought-resistant            ,
Arachis hypogaea        ,"Taproot, fibrous       ","Annual herb, prostrate up to 0.5m ","Pinnate, 2-5cm long            ",Yellow flowers; pods underground     ,Drought-tolerant; heat-tolerant   ,Geocarpy; oil-rich pods                     ,
Ricinus communis        ,"Taproot, deep          ","Perennial shrub, up to 2m   ","Palmate, 10-30cm wide, glossy  ",Red/green flowers; capsules with seeds,Drought-tolerant; heat-tolerant   ,Toxic ricin; oil-rich seeds                 ,
Elaeis guineensis       ,"Fibrous, deep          ","Perennial palm, up to 20m   ","Pinnate, 3-5m long, glossy     ",Small yellow flowers; bunches of fruit,Drought-tolerant; tropical        ,Oil-rich fruit bunches; tall canopy         ,
Glycine max             ,"Taproot, fibrous       ","Annual herb, erect up to 1m ","Trifoliate, 5-10cm long        ",Purple/white flowers; pods with seeds ,Moderate drought; nitrogen-fixing ,Nitrogen fixation; oil-rich seeds           ,
Helianthus annuus       ,"Taproot, deep          ","Annual herb, erect up to 2m ","Ovate, 10-30cm long, rough     ",Yellow ray flowers; achenes           ,Moderate drought; heat-tolerant   ,Oil-rich seeds; heliotropism                 ,
Areca catechu          ,"Fibrous, shallow       ","Perennial palm, up to 15m   ","Pinnate, 30-60cm long, glossy  ",Small yellow flowers; drupes         ,Drought-tolerant; tropical        ,Nut production; tall growth for shade        ,
Piper betle            ,"Fibrous, shallow       ","Perennial climber, up to 5m ","Ovate, 10-20cm long, glossy    ",Spikes of flowers; drupes            ,Shade-tolerant; humid tropics     ,Aromatic leaves; symbiotic mycorrhizae       ,
Nicotiana tabacum      ,"Taproot, fibrous       ","Annual/perennial herb, up to 2m ","Ovate, 15-30cm long, sticky    ",Pink/white flowers; capsules with seeds ,Moderate drought; heat-tolerant   ,Nicotine content; pest-repellent compounds   ,
Eryngium foetidum      ,"Fibrous, shallow       ","Biennial herb, up to 0.5m   ","Rosette, 10-20cm long, spiny   ",Small white flowers; achenes         ,Drought-tolerant; heat-tolerant   ,Aromatic leaves; pest resistance             ,
Pimenta dioica         ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate, 10-20cm long, glossy    ",Small white flowers; berries         ,Drought-tolerant; tropical        ,Aromatic berries; wind-resistant             ,
Pandanus amaryllifolius ,"Fibrous, shallow       ","Perennial shrub, up to 1.5m ","Linear, 50-80cm long, fragrant ",Small white flowers; drupes          ,Shade-tolerant; humid tropics     ,Fragrant leaves; aerial roots                ,
Garcinia gummi-gutta   ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Elliptic, 10-20cm long, glossy ",Small flowers; berries               ,Shade-tolerant; humid tropics     ,Acidic fruit rind; drought resistance        ,
Elettaria cardamomum   ,Rhizomatous            ,"Perennial herb, up to 2m    ","Lanceolate, 30-60cm long       ",White/pale green flowers; capsules   ,Shade-tolerant; humid tropics     ,Aromatic seeds; pest-repellent compounds     ,
Cinnamomum zeylanicum  ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate-lanceolate, 10-20cm long ",Small yellow flowers; berries        ,Drought-tolerant; tropical        ,Aromatic bark; insect-repellent oils         ,
Syzygium aromaticum    ,"Taproot, deep          ","Evergreen tree, up to 8m     ","Ovate, 10-15cm long, glossy    ",Red flower buds; berries             ,Drought-tolerant; tropical        ,Aromatic flower buds; drought resistance     ,
Coriandrum sativum     ,"Taproot, shallow       ","Annual herb, up to 0.5m     ","Pinnate, 2-10cm long, aromatic ",White/pink flowers; schizocarps      ,Moderate drought; cool climates   ,Aromatic seeds; rapid growth                 ,
Cuminum cyminum        ,"Taproot, shallow       ","Annual herb, up to 0.3m     ","Linear, 5-10cm long, aromatic  ",Small white/pink flowers; schizocarps ,Drought-tolerant; heat-tolerant   ,Aromatic seeds; deep root system             ,
Capsicum annuum        ,"Fibrous, shallow       ","Annual/perennial shrub, up to 1m ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Capsaicin for defense; diverse fruit colors  ,
