Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable,Common Name,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop,Miscellaneous Use
Dioscorea bulbifera    ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; aerial bulbils        ,Shade-tolerant; humid conditions  ,Aerial bulbils for propagation               ,0,Dioscorea bulbifera    ,0,0,0,0,0,0
Curcuma caesia         ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Dark rhizomes; medicinal properties          ,1,Curcuma caesia         ,0,0,0,0,0,0
Curcuma aeruginosa     ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Blue rhizomes; pest resistance               ,0,Curcuma aeruginosa     ,0,0,0,0,0,0
Xanthosoma violaceum   ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Violet corms; waterlogging tolerance         ,1,Xanthosoma violaceum   ,0,0,0,0,0,0
Coleus rotundifolius   ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic    ",Purple flowers; tubers               ,Shade-tolerant; humid conditions  ,Edible tubers; rapid regeneration            ,1,Coleus rotundifolius   ,0,0,0,0,0,0
Colocasia esculenta var. esculenta ,Rhizomatous ,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; water retention                ,0,Colocasia esculenta var. esculenta ,0,0,0,0,0,0
Curcuma angustifolia    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Starch-rich rhizomes; drought tolerance      ,0,Curcuma angustifolia    ,0,0,0,0,0,0
Amorphophallus paeoniifolius ,"Tuberous, deep    ","Perennial herb, up to 1m    ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation ,Shade-tolerant; humid tropics     ,Large corms; rapid regrowth                  ,1,Amorphophallus paeoniifolius ,0,0,0,0,0,0
Dioscorea pentaphylla  ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils   ,Shade-tolerant; tropical forests  ,Five-leaf structure; tuber storage           ,0,Dioscorea pentaphylla  ,0,0,0,0,0,0
Alocasia indica        ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Large leaves for light capture               ,1,Alocasia indica        ,0,0,0,0,0,0
Dioscorea alata        ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-25cm long, alternate",Small flowers; tubers with bulbils   ,Shade-tolerant; tropical forests  ,Tuber storage; climbing for light            ,0,Dioscorea alata        ,0,0,0,0,0,0
Dioscorea oppositifolia ,"Tuberous, deep        ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; tropical forests  ,Opposite leaves; tuber resilience            ,0,Dioscorea oppositifolia ,0,0,0,0,0,0
Dioscorea hispida      ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; humid conditions  ,Toxic compounds; tuber storage               ,0,Dioscorea hispida      ,0,0,0,0,0,0
Dioscorea esculenta    ,"Tuberous, deep         ","Perennial climber, up to 8m ","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; tropical forests  ,Small tubers for storage; edible             ,1,Dioscorea esculenta    ,0,0,0,0,0,0
Solanum tuberosum      ,"Tuberous, shallow      ","Perennial herb, up to 0.8m  ","Compound, 15-30cm long          ",Purple/white flowers; tubers          ,Moderate drought; cool climates   ,Stolon tubers; pest resistance               ,1,Solanum tuberosum      ,0,0,0,0,0,0
Canna edulis           ,Rhizomatous            ,"Perennial herb, up to 2m    ","Ovate, 20-40cm long, glossy    ",Red/yellow flowers; rhizome propagation ,Moderate drought; tropical        ,Starch-rich rhizomes; ornamental value       ,1,Canna edulis           ,0,0,0,0,0,0
Ipomoea batatas        ,"Fibrous, shallow       ","Perennial vine, up to 4m    ","Cordate, 5-15cm long, glossy   ",Purple flowers; tubers               ,Drought-tolerant; heat-tolerant   ,Edible tubers; rapid climbing                ,1,Ipomoea batatas        ,0,0,0,0,0,0
Xanthosoma sagittifolium ,Rhizomatous         ,"Perennial herb, up to 1.5m  ","Arrow-shaped, 30-60cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; waterlogging tolerance         ,0,Xanthosoma sagittifolium ,0,0,0,0,0,0
Manihot esculenta      ,"Taproot, deep          ","Perennial shrub, up to 2m   ","Palmate, 10-20cm long, lobed    ",Monoecious; capsules with seeds       ,Drought-tolerant; poor soils      ,Cyanogenic compounds deter herbivores        ,1,Manihot esculenta      ,0,0,0,0,0,0
Colocasia esculenta var. antiquorum ,Rhizomatous ,"Perennial herb, up to 1m    ","Arrow-shaped, 20-50cm long      ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; water retention                ,0,Colocasia esculenta var. antiquorum ,0,0,0,0,0,0
Maranta arundinacea    ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Ovate, 10-20cm long, glossy    ",White flowers; rhizome propagation    ,Moderate drought; tropical        ,Starch-rich rhizomes; pest resistance        ,1,Maranta arundinacea    ,0,0,0,0,0,0
Dioscorea rotundata    ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; tubers; seeds rare    ,Shade-tolerant; humid conditions  ,White tubers; drought tolerance              ,0,Dioscorea rotundata    ,0,0,0,0,0,0
Smallanthus sonchifolius ,"Fibrous, shallow    ","Perennial herb, up to 1m    ","Ovate, 10-20cm long, serrated  ",Yellow flowers; tubers               ,Moderate drought; cool climates   ,Sweet tubers; rapid growth                   ,0,Smallanthus sonchifolius ,0,0,0,0,0,0
Pachyrhizus erosus     ,"Taproot, deep          ","Perennial vine, up to 5m    ","Pinnate, 5-15cm long           ",Purple/white flowers; tubers          ,Drought-tolerant; heat-tolerant   ,Edible tubers; climbing habit                ,0,Pachyrhizus erosus     ,0,0,0,0,0,0
Beta vulgaris           ,"Taproot, deep          ","Biennial herb, up to 1m     ","Ovate, 10-20cm long, glossy    ",Green flowers; root tubers            ,Cold-tolerant; moderate drought   ,Edible taproot; cold storage                ,1,Beta vulgaris           ,0,0,0,0,0,0
Brassica oleracea var. italica ,"Fibrous, shallow ","Annual herb, up to 0.8m     ","Obovate, 20-50cm long, waxy    ",Yellow flowers; heads with buds       ,Cold-tolerant; moderate frost     ,Tight bud clusters; frost resistance        ,1,Brassica oleracea var. italica ,0,0,0,0,0,0
Brassica oleracea var. gemmifera ,"Fibrous, shallow ","Biennial herb, up to 0.7m   ","Obovate, 15-30cm long, waxy    ",Yellow flowers; axillary buds        ,Cold-tolerant; moderate frost     ,Bud production on stem; cold-hardy          ,1,Brassica oleracea var. gemmifera ,0,0,0,0,0,0
Brassica oleracea var. capitata ,"Fibrous, shallow ","Biennial herb, up to 0.6m   ","Obovate, 20-40cm long, waxy    ",Yellow flowers; head formation       ,Cold-tolerant; moderate frost     ,Dense leaf heads; pest resistance           ,1,Brassica oleracea var. capitata ,0,0,0,0,0,0
Daucus carota           ,"Taproot, deep          ","Biennial herb, up to 1m     ","Pinnate, 10-20cm long, feathery",White umbel flowers; root tubers      ,Cold-tolerant; moderate drought   ,Edible taproot; deep root system            ,1,Daucus carota           ,0,0,0,0,0,0
Brassica oleracea var. botrytis ,"Fibrous, shallow ","Annual herb, up to 0.7m     ","Obovate, 20-40cm long, waxy    ",Yellow flowers; curd formation       ,Cold-tolerant; moderate frost     ,White curd; frost tolerance                 ,1,Brassica oleracea var. botrytis ,0,0,0,0,0,0
Apium graveolens        ,"Fibrous, shallow       ","Biennial herb, up to 0.5m   ","Pinnate, 10-20cm long, glossy  ",Small white flowers; schizocarps      ,Cold-tolerant; moist soils        ,Aromatic stalks; water retention            ,1,Apium graveolens        ,0,0,0,0,0,0
Sechium edule           ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 10-20cm wide, lobed   ",White flowers; single-seeded fruit    ,Moderate drought; tropical        ,Edible fruit; rapid climbing                ,1,Sechium edule           ,0,0,0,0,0,0
Phaseolus vulgaris      ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds ,Moderate drought; nitrogen-fixing ,Nitrogen fixation; edible pods              ,1,Phaseolus vulgaris      ,0,0,0,0,0,0
Pisum sativum           ,"Taproot, fibrous       ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds ,Cold-tolerant; moderate drought   ,Nitrogen fixation; cold-resistant growth    ,1,Pisum sativum           ,0,0,0,0,0,0
Brassica oleracea var. sabellica ,"Fibrous, shallow ","Biennial herb, up to 0.6m   ","Pinnate, 20-40cm long, crinkled",Yellow flowers; loose leaf clusters   ,Cold-tolerant; moderate frost     ,Hardy leaves; frost enhances flavor         ,1,Brassica oleracea var. sabellica ,0,0,0,0,0,0
Lactuca sativa          ,"Fibrous, shallow       ","Annual herb, up to 0.4m     ","Obovate, 5-15cm long, glossy   ",Yellow flowers; achenes              ,Cold-tolerant; moist soils        ,Rapid growth; mild flavor                   ,1,Lactuca sativa          ,0,0,0,0,0,0
Allium cepa             ,"Bulbous, shallow       ","Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils   ,Moderate drought; cool climates   ,Sulfur compounds; underground storage       ,1,Allium cepa             ,0,0,0,0,0,0
Raphanus sativus        ,"Taproot, deep          ","Annual herb, up to 0.5m     ","Lyre-shaped, 5-15cm long       ",Purple/white flowers; root tubers     ,Cold-tolerant; moderate drought   ,Edible taproot; pungent compounds           ,1,Raphanus sativus        ,0,0,0,0,0,0
Allium cepa var. aggregatum ,"Bulbous, shallow  ","Biennial herb, up to 0.5m   ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils   ,Moderate drought; cool climates   ,Clustered bulbs; pest resistance            ,1,Allium cepa var. aggregatum ,0,0,0,0,0,0
Spinacia oleracea       ,"Fibrous, shallow       ","Annual herb, up to 0.3m     ","Ovate, 5-10cm long, glossy     ",Green flowers; achenes               ,Cold-tolerant; moist soils        ,High nutrient content; rapid growth         ,0,Spinacia oleracea       ,0,0,0,0,0,0
Brassica rapa           ,"Taproot, deep          ","Biennial herb, up to 0.5m   ","Lyre-shaped, 5-15cm long       ",Yellow flowers; root tubers          ,Cold-tolerant; moderate drought   ,Edible taproot; cold-hardy                  ,1,Brassica rapa           ,0,0,0,0,0,0
Malus domestica        ,"Taproot, fibrous       ","Deciduous tree, up to 10m   ","Ovate, 5-12cm long, serrated   ",White/pink flowers; pomes            ,Cold-tolerant; moderate drought   ,Dormancy in winter; pest-resistant bark      ,0,Malus domestica        ,1,0,0,0,0,0
Prunus armeniaca       ,"Taproot, fibrous       ","Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes                ,Cold-tolerant; moderate drought   ,Early blooming; drought-resistant roots      ,0,Prunus armeniaca       ,1,0,0,0,0,0
Pyrus pyrifolia        ,"Taproot, fibrous       ","Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; pomes                 ,Cold-tolerant; moderate drought   ,Thick skin; cold-hardy                      ,0,Pyrus pyrifolia        ,1,0,0,0,0,0
Persea americana       ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Elliptic, 10-30cm long, glossy ",Greenish flowers; drupes             ,Moderate drought; heat-tolerant   ,High oil content; frost-sensitive            ,0,Persea americana       ,1,0,0,0,0,0
Passiflora mollissima  ,"Fibrous, shallow       ","Perennial vine, up to 5m    ","Ovate, 5-15cm long, lobed      ",Purple/white flowers; berries        ,Moderate drought; tropical        ,Climbing habit; rapid fruiting               ,0,Passiflora mollissima  ,1,0,0,0,0,0
Rubus spp              ,"Fibrous, shallow       ","Perennial shrub, up to 2m   ","Ovate, 5-10cm long, serrated   ",White/pink flowers; drupes           ,Cold-tolerant; moderate drought   ,Thorny stems; aggregate fruit                ,0,Rubus spp              ,1,0,0,0,0,0
Citrus paradisi        ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Thick rind; high vitamin C content           ,0,Citrus paradisi        ,1,0,0,0,0,0
Vitis vinifera         ,"Fibrous, deep          ","Woody vine, up to 15m       ","Palmate, 5-15cm wide, lobed    ",Green flowers; berries               ,Moderate drought; warm climates   ,Tendrils for climbing; pest resistance       ,0,Vitis vinifera         ,1,0,0,0,0,0
Prunus salicina        ,"Taproot, fibrous       ","Deciduous tree, up to 8m    ","Ovate, 5-10cm long, serrated   ",White flowers; drupes                ,Cold-tolerant; moderate drought   ,Early ripening; drought-tolerant roots       ,0,Prunus salicina        ,0,0,0,0,0,0
Citrus japonica        ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Edible peel; compact growth                  ,0,Citrus japonica        ,1,0,0,0,0,0
Lansium parasiticum    ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",Small flowers; berries               ,Shade-tolerant; humid tropics     ,Bitter rind protects fruit; insect repellent ,0,Lansium parasiticum    ,0,0,0,0,0,0
Litchi sinensis        ,"Taproot, deep          ","Evergreen tree, up to 12m   ","Pinnate, 10-20cm long          ",Small greenish flowers; drupes       ,Moderate drought; heat-tolerant   ,Rough skin; drought-resistant leaves         ,0,Litchi sinensis        ,1,0,0,0,0,0
Eriobotrya japonica    ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-25cm long, leathery  ",White flowers; pomes                 ,Moderate frost; heat-tolerant     ,Evergreen foliage; early fruiting            ,0,Eriobotrya japonica    ,1,0,0,0,0,0
Macadamia integrifolia ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-20cm long, glossy    ",White flowers; nuts                  ,Moderate drought; tropical        ,Hard nut shell; oil-rich seeds               ,0,Macadamia integrifolia ,1,0,0,0,0,0
Citrus reticulata      ,"Taproot, fibrous       ","Evergreen tree, up to 8m    ","Ovate, 5-10cm long, glossy     ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Loose peel; cold-sensitive                   ,0,Citrus reticulata      ,1,0,0,0,0,0
Prunus persica         ,"Taproot, fibrous       ","Deciduous tree, up to 7m    ","Ovate, 5-10cm long, serrated   ",Pink flowers; drupes                 ,Cold-tolerant; moderate drought   ,Fuzzy skin; early blooming                   ,0,Prunus persica         ,1,0,0,0,0,0
Solanum muricatum      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, lobed      ",Purple flowers; berries              ,Moderate drought; tropical        ,Waxy fruit coating; rapid growth             ,0,Solanum muricatum      ,1,0,0,0,0,0
